Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
CityMaxCapita_1|0|Dict_Sharing|1|22|2_City_State|23_State_Country|string|string|806374|1142397|167289|101961|4.82025|11.2043|161893|209191|4.98091|5.46102|1.37821|Dict_Sharing|1|22|4.981892|5.461363|4.669489|11.209202|-10829|107262|-1|-1|5292|5751|-1|-1|-1|-1|-1.000000|104147|104172|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|23966|2|101916|101949|-1|-1|-1|-1|
CMSprovider_1|0|Dict_Sharing|7|9|8_HCPCS_DRUG_INDICATOR|10_MEDICARE_PARTICIPATION_INDICATOR|string|string|327683|327683|2129|9797|153.914|33.4473|10301|18010|31.8108|18.1945|2.37389|Dict_Sharing|7|9|31.838613|18.203600|31.823152|33.574078|-5|8240|-1|-1|1|2|-1|-1|-1|-1|-1.000000|14|35|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1|9760|9785|-1|-1|-1|-1|
CMSprovider_1|0|Dict_Sharing|14|16|15_NPPES_PROVIDER_COUNTRY|17_NPPES_PROVIDER_STATE|string|string|393218|393218|2523|25553|155.853|15.3883|34926|33512|11.2586|11.7336|2.4376|Dict_Sharing|14|16|11.261506|11.736800|11.159869|15.410644|-318|7987|-1|-1|9|58|-1|-1|-1|-1|-1.000000|376|401|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1|25516|25541|-1|-1|-1|-1|
CMSprovider_1|0|Dict_Sharing|21|15|22_PLACE_OF_SERVICE|16_NPPES_PROVIDER_GENDER|string|string|327683|327580|2650|2808|123.654|116.66|10822|10661|30.2793|30.7269|3.93606|Dict_Sharing|21|15|30.304541|30.784701|30.290534|117.328080|-5|7849|-1|-1|2|2|-1|-1|-1|-1|-1.000000|19|40|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|104|2792|2796|-1|-1|-1|-1|
CommonGovernment_1|0|Dict_Sharing|4|16|5_agency_code|17_code|string|string|393220|393220|25129|24264|15.6481|16.2059|40921|41423|9.60925|9.49279|1.66712|Dict_Sharing|4|16|9.609247|9.492794|9.602208|16.224625|-30|17187|-1|-1|39|44|-1|-1|-1|-1|-1.000000|268|284|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|24236|24252|-1|-1|-1|-1|
CommonGovernment_1|0|Dict_Sharing|20|21|21_count_fetched|22_count_total|integer|integer|262144|262144|59029|56872|4.44094|4.60937|60270|60270|4.34949|4.34949|1.04003|Dict_Sharing|20|21|4.349494|4.349494|4.300192|4.610666|-691|3414|-1|-1|536|536|-1|-1|-1|-1|-1.000000|2144|2156|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|56856|56860|-1|-1|-1|-1|
CommonGovernment_1|0|Dict_Sharing|31|30|32_gwacs|31_gsaotherdollar|double|double|524288|524288|26677|14264|19.6532|36.756|30|55509|17476.3|9.4451|1.35656|Dict_Sharing|31|30|17476.266667|9.445099|19.676787|36.817978|-26615|41269|-1|-1|2|3071|-1|-1|-1|-1|-1.000000|24576|24588|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|14240|14252|-1|-1|-1|-1|
CommonGovernment_1|0|Dict_Sharing|41|43|42_prod_or_serv_code|44_psc_code|string|string|524292|524292|72633|66420|7.21837|7.89359|83543|83543|6.27571|6.27571|1.2016|Dict_Sharing|41|43|6.275714|6.275714|6.275714|7.897867|0|17159|-1|-1|774|774|-1|-1|-1|-1|-1.000000|6196|6212|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|66384|66408|-1|-1|-1|-1|
CommonGovernment_1|0|Dict_Sharing|47|1|48_refidvid_agencyid|2_a_aid_acontid_agencyid|string|string|471477|524292|24918|33572|18.9211|15.6169|41684|62986|11.3107|8.32395|1.78954|Dict_Sharing|47|1|11.310743|8.323813|11.254583|15.637437|-208|29458|-1|-1|109|131|-1|-1|-1|-1|-1.000000|1081|1097|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|33528|33560|-1|-1|-1|-1|
Corporations_1|0|Dict_Sharing|2|17|3_angelco_account|18_long_description|string|string|263249|265017|6400|2280|41.1327|116.236|263269|265073|0.999924|0.999789|60.8689|Dict_Sharing|2|17|0.999985|0.999985|0.988877|5.175709|-2957|213817|-1|-1|39|23|-1|-1|-1|-1|-1.000000|4222|4247|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|65497|65513|51204|2268|-1|-1|-1|-1|
Corporations_1|0|Dict_Sharing|4|16|5_city|17_location|string|string|262417|262410|2569|2148|102.148|122.165|262449|262438|0.999878|0.999893|111.276|Dict_Sharing|4|16|0.999985|0.999985|0.999931|6.100856|-14|219402|-1|-1|29|29|-1|-1|-1|-1|-1.000000|395|416|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|65505|65505|43012|2136|-1|-1|-1|-1|
