Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1170865|0.999794|10|4|0|0|0
Bimbo_1|3670016|319324|319614|0.999093|12|92|0|0|0
CityMaxCapita_1|26049426|11018728|10917590|1.00926|31|204|4|1|1
CMSprovider_1|16717728|3729276|3656980|1.01977|26|202|4|3|1
CommonGovernment_1|62829650|8193179|8067883|1.01553|56|1208|13|5|1
Corporations_1|11901857|5105751|3271887|1.56049|27|144|80|5|1
Eixo_1|60077487|5892367|5642795|1.04423|71|2972|136|11|1
Euro2016_1|11418716|5779460|5255074|1.09979|10|20|8|2|1
Food_1|2758131|515805|515949|0.999721|6|8|0|0|0
Generico_1|42738694|2805958|2505436|1.11995|42|834|6|2|1
HashTags_1|92542033|34753667|33845989|1.02682|99|2572|13|5|1
Hatred_1|26027696|11533096|11522485|1.00092|31|154|2|1|1
IGlocations1_1|6321918|1779851|1780285|0.999756|18|212|0|0|0
Medicare1_1|12973420|3996314|3970870|1.00641|26|128|1|1|1
MedPayment1_1|16768400|4681724|4674156|1.00162|28|260|2|1|1
MLB_1|18994088|2380651|2343570|1.01582|48|968|19|3|1
Motos_1|42974217|2829428|2527106|1.11963|43|886|6|2|1
MulheresMil_1|62416953|5964864|5715340|1.04366|72|3080|136|11|1
NYC_1|36490617|3139541|2192434|1.43199|48|1130|106|6|1
PanCreactomy1_1|18360922|4037727|4005955|1.00793|29|292|4|2|1
Physicians_1|16768116|4686462|4678898|1.00162|28|260|2|1|1
Provider_1|16202756|4588180|4580614|1.00165|28|252|2|1|1
RealEstate1_1|17820728|4838606|4818053|1.00427|26|204|1|1|1
Redfin1_1|22150976|9242876|9079427|1.018|42|170|24|3|1
Rentabilidad_1|70851322|16198993|16139071|1.00371|139|2576|9|4|1
Romance_1|21518242|9890137|9890849|0.999928|11|4|0|0|0
SalariesFrance_1|48707783|9310155|9234612|1.00818|57|480|4|2|1
TableroSistemaPenal_1|23289522|802109|802758|0.999192|27|366|0|0|0
Taxpayer_1|16195222|4592886|4585317|1.00165|28|252|2|1|1
Telco_1|92222061|23897338|22879332|1.04449|176|15972|1904|38|1
TrainsUK1_2|22067864|3440367|3370996|1.02058|27|194|20|3|1
TrainsUK2_1|18144855|3140981|3059232|1.02672|29|272|12|5|1
Uberlandia_1|61320125|5959002|5678309|1.04943|72|2834|144|13|1
USCensus_1|137735464|8738400|8584788|1.01789|518|90386|208|19|1
Wins_1|88869327|14701699|14505491|1.01353|254|26304|42|15|1
YaleLanguages_1|18012366|1520217|1477740|1.02874|28|410|4|2|1
Average compression_ratio_improvement: 1.04894
Total ECRs computed: 156306
