Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1165378|1.0045|12|1|1
Bimbo_1|0|3670016|319324|300889|1.06127|122|3|1
CityMaxCapita_1|0|26049426|11018728|10777930|1.02234|367|41|6
CMSprovider_1|0|16717728|3729276|3444651|1.08263|323|59|9
CommonGovernment_1|0|62829650|8193179|7239689|1.1317|2028|111|21
Corporations_1|0|11901857|5105751|3356573|1.52112|240|48|9
Eixo_1|0|60077487|5892367|4650790|1.26696|4160|668|37
Euro2016_1|0|11418716|5779460|5244416|1.10202|30|11|2
Food_1|0|2758131|515805|515949|0.999721|20|0|0
Generico_1|0|42738694|2805958|2131272|1.31656|1722|97|16
HashTags_1|0|92542033|34753667|34638029|1.00334|4979|102|12
Hatred_1|0|26027696|11533096|11354399|1.01574|317|32|5
IGlocations1_1|0|6321918|1779851|1780285|0.999756|56|0|0
Medicare1_1|0|12973420|3996314|3726810|1.07231|226|6|4
MedPayment1_1|0|16768400|4681724|4545967|1.02986|292|24|4
MLB_1|0|18994088|2380651|2334169|1.01991|2225|2|2
Motos_1|0|42974217|2829428|2153598|1.31381|1806|101|17
MulheresMil_1|0|62416953|5964864|4678156|1.27505|4290|684|36
NYC_1|0|36490617|3139541|2054424|1.52819|1482|127|23
PanCreactomy1_1|0|18360922|4037727|3718909|1.08573|420|52|7
Physicians_1|0|16768116|4686462|4547521|1.03055|292|23|4
Provider_1|0|16202756|4588180|4546759|1.00911|306|19|4
RealEstate1_1|0|17820728|4838606|4558674|1.06141|379|22|7
Redfin1_1|0|22150976|9242876|9126983|1.0127|258|3|3
Rentabilidad_1|0|70851322|16198993|15507369|1.0446|6848|174|23
Romance_1|0|21518242|9890432|9890401|1|2|0|0
SalariesFrance_1|0|48707783|9310155|8808700|1.05693|935|52|8
TableroSistemaPenal_1|0|23289522|802109|296734|2.70312|702|38|12
Taxpayer_1|0|16195222|4592886|4554110|1.00851|306|21|5
Telco_1|0|92222061|23897338|23388212|1.02177|10178|44|14
TrainsUK1_2|0|22067864|3440367|2932349|1.17325|552|16|8
TrainsUK2_1|0|18144855|3140981|2580979|1.21697|702|49|10
Uberlandia_1|0|61320125|5959002|4667211|1.27678|4290|693|38
USCensus_1|0|137735464|8738400|8426828|1.03697|92702|29|16
Wins_1|0|88869327|14701698|14273761|1.02998|34686|92|12
YaleLanguages_1|0|18012366|1520217|938614|1.61964|650|65|14
